Accession,SRR accession,Ethambutol,Isoniazid,Pyrazinamide,Rifampicin,Isolate
SAMEA2533883,ERR551356,S,S,S,S,SAMEA2533883
SAMEA2534524,ERR552264,S,S,S,S,SAMEA2534524
SAMEA2534277,ERR551901,S,S,S,S,SAMEA2534277
SAMEA2533846,ERR551300,S,S,S,S,SAMEA2533846
SAMEA2534274,ERR551898,S,S,S,S,SAMEA2534274
SAMEA2534122,ERR551690,S,S,S,S,SAMEA2534122
SAMEA2534252,ERR551868,S,S,S,S,SAMEA2534252
SAMEA2533407,ERR550703,S,S,S,S,SAMEA2533407
SAMEA2533570,ERR550928,S,R,R,R,SAMEA2533570
SAMEA2533865,ERR551336,S,S,S,S,SAMEA2533865
SAMEA2534433,ERR552131,S,S,S,S,SAMEA2534433
SAMEA2533845,ERR551301,S,S,S,S,SAMEA2533845
SAMEA2534633,ERR552413,S,R,S,R,SAMEA2534633
SAMEA2533385,ERR550675,R,R,S,R,SAMEA2533385
SAMEA2297087,ERR400516,S,S,S,S,SAMEA2297087
SAMEA2533977,ERR551487,S,S,S,S,SAMEA2533977
SAMEA2533373,ERR550660,S,S,S,S,SAMEA2533373
SAMEA2534662,ERR552459,S,R,S,S,SAMEA2534662
SAMEA2534590,ERR552354,S,S,S,S,SAMEA2534590
SAMEA2533414,ERR550712,S,S,S,S,SAMEA2533414
SAMEA2534115,ERR551684,S,S,S,S,SAMEA2534115
SAMEA2533597,ERR550965,S,S,S,S,SAMEA2533597
SAMEA2533996,ERR551515,S,R,S,R,SAMEA2533996
SAMEA2533476,ERR550797,S,S,S,S,SAMEA2533476
SAMEA2534641,ERR552427,S,R,R,S,SAMEA2534641
SAMEA2534442,ERR552142,R,R,R,R,SAMEA2534442
SAMEA2534165,ERR551751,S,S,S,S,SAMEA2534165
SAMEA2534377,ERR552051,S,S,S,S,SAMEA2534377
SAMEA2533546,ERR550892,R,R,S,R,SAMEA2533546
SAMEA2533933,ERR551426,S,S,S,S,SAMEA2533933
SAMEA2534482,ERR552205,S,S,S,S,SAMEA2534482
SAMEA2533345,ERR550621,S,S,S,S,SAMEA2533345
SAMEA2534549,ERR552294,S,S,S,S,SAMEA2534549
SAMEA2533816,ERR551266,S,S,S,S,SAMEA2533816
SAMEA2297177,ERR400353,S,R,S,S,SAMEA2297177
SAMEA2533350,ERR550628,S,S,S,S,SAMEA2533350
SAMEA2297103,ERR400532,S,S,S,S,SAMEA2297103
SAMEA2533872,ERR551345,S,S,S,S,SAMEA2533872
SAMEA2297125,ERR400554,S,S,S,S,SAMEA2297125
SAMEA2534537,ERR552278,S,S,S,S,SAMEA2534537
SAMEA2533686,ERR551084,S,S,S,S,SAMEA2533686
SAMEA2533370,ERR550656,S,S,S,S,SAMEA2533370
SAMEA2534363,ERR552030,S,R,S,S,SAMEA2534363
SAMEA2534338,ERR551994,R,R,R,R,SAMEA2534338
SAMEA2533704,ERR551105,R,R,R,R,SAMEA2533704
SAMEA2533513,ERR550842,R,R,S,R,SAMEA2533513
SAMEA2534518,ERR552257,R,R,R,R,SAMEA2534518
SAMEA2533539,ERR550878,S,S,S,S,SAMEA2533539
SAMEA2534287,ERR551915,S,S,S,S,SAMEA2534287
SAMEA2534143,ERR551719,S,S,S,S,SAMEA2534143
SAMEA2534305,ERR551940,S,S,S,S,SAMEA2534305
SAMEA2533924,ERR551413,S,S,S,S,SAMEA2533924
SAMEA2297016,ERR400445,S,S,S,S,SAMEA2297016
SAMEA2533676,ERR551072,S,S,S,S,SAMEA2533676
SAMEA2534141,ERR551715,S,S,S,S,SAMEA2534141
SAMEA2534542,ERR552287,R,R,S,R,SAMEA2534542
SAMEA2534618,ERR552391,S,R,S,R,SAMEA2534618
SAMEA2534237,ERR551847,S,S,S,S,SAMEA2534237
SAMEA2533413,ERR550711,S,S,S,S,SAMEA2533413
SAMEA2534213,ERR551818,S,S,S,S,SAMEA2534213
SAMEA2534055,ERR551598,S,S,S,S,SAMEA2534055
SAMEA2297077,ERR400506,S,S,S,S,SAMEA2297077
SAMEA2533930,ERR551420,S,S,S,S,SAMEA2533930
SAMEA2534356,ERR552020,S,R,S,S,SAMEA2534356
SAMEA2533622,ERR550999,R,R,R,R,SAMEA2533622
SAMEA2533402,ERR550698,S,R,S,S,SAMEA2533402
SAMEA2533769,ERR551198,S,S,S,S,SAMEA2533769
SAMEA2534332,ERR551988,S,S,S,S,SAMEA2534332
SAMEA2297008,ERR400437,S,S,S,S,SAMEA2297008
SAMEA2533463,ERR550777,R,R,R,R,SAMEA2533463
SAMEA2534221,ERR551828,S,R,S,R,SAMEA2534221
SAMEA2534100,ERR551662,S,S,S,S,SAMEA2534100
SAMEA2534347,ERR552008,R,R,R,R,SAMEA2534347
SAMEA2297188,ERR400364,S,S,S,S,SAMEA2297188
SAMEA2533885,ERR551358,S,S,S,S,SAMEA2533885
SAMEA2534043,ERR551580,S,S,S,S,SAMEA2534043
SAMEA2534597,ERR552364,S,R,S,R,SAMEA2534597
SAMEA2533589,ERR2815527,S,S,R,S,SAMEA2533589
SAMEA2534169,ERR551754,S,S,S,S,SAMEA2534169
SAMEA2534388,ERR552063,S,S,S,S,SAMEA2534388
SAMEA2533689,ERR551087,S,S,S,S,SAMEA2533689
SAMEA2297142,ERR400318,S,S,S,S,SAMEA2297142
SAMEA2297176,ERR400352,S,S,S,S,SAMEA2297176
SAMEA2534619,ERR552394,S,S,S,S,SAMEA2534619
SAMEA2297069,ERR400498,S,S,S,S,SAMEA2297069
SAMEA2533439,ERR550745,S,S,S,S,SAMEA2533439
SAMEA2533590,ERR550955,S,S,S,S,SAMEA2533590
SAMEA2534089,ERR551646,S,S,S,S,SAMEA2534089
SAMEA2297034,ERR400463,S,S,S,S,SAMEA2297034
SAMEA2297096,ERR400525,S,S,S,S,SAMEA2297096
SAMEA2534290,ERR551918,R,R,R,R,SAMEA2534290
SAMEA2533545,ERR550890,R,R,S,R,SAMEA2533545
SAMEA2534559,ERR552315,S,S,S,S,SAMEA2534559
SAMEA2533714,ERR551120,S,S,S,S,SAMEA2533714
SAMEA2533787,ERR551223,S,S,S,S,SAMEA2533787
SAMEA2533777,ERR551212,R,R,R,R,SAMEA2533777
SAMEA2297106,ERR400535,S,S,S,S,SAMEA2297106
SAMEA2534526,ERR552266,S,S,S,S,SAMEA2534526
SAMEA2533538,ERR550877,S,S,S,S,SAMEA2533538
SAMEA2533372,ERR550659,S,R,R,S,SAMEA2533372
SAMEA2534502,ERR552233,S,S,S,S,SAMEA2534502
SAMEA2297065,ERR400494,S,S,S,S,SAMEA2297065
SAMEA2297138,ERR400314,S,S,S,S,SAMEA2297138
SAMEA2534451,ERR552156,S,S,S,S,SAMEA2534451
SAMEA2534452,ERR552159,S,S,S,S,SAMEA2534452
SAMEA2534261,ERR551878,R,R,S,R,SAMEA2534261
SAMEA2297155,ERR400331,S,R,S,S,SAMEA2297155
SAMEA2534395,ERR552072,S,S,S,S,SAMEA2534395
SAMEA2533605,ERR550978,S,R,S,S,SAMEA2533605
SAMEA2534698,ERR552511,S,S,S,S,SAMEA2534698
SAMEA2297104,ERR400533,S,S,S,S,SAMEA2297104
SAMEA2533973,ERR551483,S,S,S,S,SAMEA2533973
SAMEA2533902,ERR551385,S,R,S,R,SAMEA2533902
SAMEA2533912,ERR551395,S,S,S,S,SAMEA2533912
SAMEA2533939,ERR551434,S,S,S,S,SAMEA2533939
SAMEA2297021,ERR400450,S,S,S,S,SAMEA2297021
SAMEA2533388,ERR550678,S,S,S,S,SAMEA2533388
SAMEA2297112,ERR400541,S,S,S,S,SAMEA2297112
SAMEA2534548,ERR552293,S,S,S,S,SAMEA2534548
SAMEA2534320,ERR551964,S,S,S,S,SAMEA2534320
SAMEA2534157,ERR551738,R,R,R,R,SAMEA2534157
SAMEA2533427,ERR550729,S,S,S,S,SAMEA2533427
SAMEA2297038,ERR400467,S,S,S,S,SAMEA2297038
SAMEA2534096,ERR551657,S,S,S,S,SAMEA2534096
SAMEA2297127,ERR400556,S,S,S,S,SAMEA2297127
SAMEA2534424,ERR552116,S,S,S,S,SAMEA2534424
SAMEA2533591,ERR550956,S,S,S,S,SAMEA2533591
SAMEA2533992,ERR551506,S,S,S,S,SAMEA2533992
SAMEA2297205,ERR400381,S,S,S,S,SAMEA2297205
SAMEA2533793,ERR551232,S,S,S,S,SAMEA2533793
SAMEA2534705,ERR552521,S,S,S,S,SAMEA2534705
SAMEA2534098,ERR551659,S,R,R,R,SAMEA2534098
SAMEA2533733,ERR551145,R,R,R,R,SAMEA2533733
SAMEA2297157,ERR400333,S,S,S,S,SAMEA2297157
SAMEA2533410,ERR550708,S,S,S,S,SAMEA2533410
SAMEA2534246,ERR551860,S,R,S,S,SAMEA2534246
SAMEA2297086,ERR400515,S,S,S,S,SAMEA2297086
SAMEA2533383,ERR550673,S,S,S,S,SAMEA2533383
SAMEA2533400,ERR550696,S,S,S,S,SAMEA2533400
SAMEA2533475,ERR550796,S,S,S,S,SAMEA2533475
SAMEA2533568,ERR550926,S,S,S,S,SAMEA2533568
SAMEA2533515,ERR550845,S,S,S,S,SAMEA2533515
SAMEA2534174,ERR551761,S,S,S,S,SAMEA2534174
SAMEA2534020,ERR551552,S,S,S,S,SAMEA2534020
SAMEA2534210,ERR551814,S,S,S,S,SAMEA2534210
SAMEA2533702,ERR551101,S,S,S,S,SAMEA2533702
SAMEA2533797,ERR551238,R,R,S,R,SAMEA2533797
SAMEA2533794,ERR551234,S,R,S,R,SAMEA2533794
SAMEA2533411,ERR550709,S,S,S,S,SAMEA2533411
SAMEA2533630,ERR551009,S,S,R,S,SAMEA2533630
SAMEA2297058,ERR400487,S,S,S,S,SAMEA2297058
SAMEA2534413,ERR552101,R,R,S,R,SAMEA2534413
SAMEA2534097,ERR551658,S,S,S,S,SAMEA2534097
SAMEA2534309,ERR551947,R,R,S,R,SAMEA2534309
SAMEA2534044,ERR551579,S,S,S,S,SAMEA2534044
SAMEA2533991,ERR551508,S,S,S,S,SAMEA2533991
SAMEA2533442,ERR550747,S,S,S,S,SAMEA2533442
SAMEA2533960,ERR551462,S,R,S,S,SAMEA2533960
SAMEA2534554,ERR552301,R,R,S,R,SAMEA2534554
SAMEA2297025,ERR400454,S,S,S,S,SAMEA2297025
SAMEA2534284,ERR551912,S,S,S,S,SAMEA2534284
SAMEA2533913,ERR551396,S,S,S,S,SAMEA2533913
SAMEA2533765,ERR551192,S,S,S,S,SAMEA2533765
SAMEA2533674,ERR551070,S,R,R,S,SAMEA2533674
SAMEA2533453,ERR550763,R,R,S,R,SAMEA2533453
SAMEA2534354,ERR552018,S,S,S,S,SAMEA2534354
SAMEA2533618,ERR550995,S,S,S,S,SAMEA2533618
SAMEA2534552,ERR552299,S,S,S,S,SAMEA2534552
SAMEA2534560,ERR552316,S,S,S,S,SAMEA2534560
SAMEA2533700,ERR551098,S,S,S,S,SAMEA2533700
SAMEA2534166,ERR551749,S,R,S,R,SAMEA2534166
SAMEA2533548,ERR550896,S,R,S,R,SAMEA2533548
SAMEA2534262,ERR551879,S,S,S,S,SAMEA2534262
SAMEA2533710,ERR551115,S,S,S,S,SAMEA2533710
SAMEA2534714,ERR552535,S,S,S,S,SAMEA2534714
SAMEA2534650,ERR552440,S,S,S,S,SAMEA2534650
SAMEA2534032,ERR551565,S,S,S,S,SAMEA2534032
SAMEA2534639,ERR552428,S,S,S,S,SAMEA2534639
SAMEA2534562,ERR552320,S,S,S,S,SAMEA2534562
SAMEA2533562,ERR550921,S,S,S,S,SAMEA2533562
SAMEA2534058,ERR551599,R,R,S,R,SAMEA2534058
SAMEA2297085,ERR400514,S,S,S,S,SAMEA2297085
SAMEA2533741,ERR551157,S,S,S,S,SAMEA2533741
SAMEA2533860,ERR551328,S,S,S,S,SAMEA2533860
SAMEA2534235,ERR551846,S,S,S,S,SAMEA2534235
SAMEA2534716,ERR552538,S,S,S,S,SAMEA2534716
SAMEA2533899,ERR551380,S,R,S,R,SAMEA2533899
SAMEA2297099,ERR400528,S,S,S,S,SAMEA2297099
SAMEA2533811,ERR551257,S,S,S,S,SAMEA2533811
SAMEA2533822,ERR551272,S,S,S,S,SAMEA2533822
SAMEA2533462,ERR550776,S,S,S,S,SAMEA2533462
SAMEA2534311,ERR551951,S,R,S,R,SAMEA2534311
SAMEA2534532,ERR552272,S,S,S,S,SAMEA2534532
SAMEA2533698,ERR551097,S,S,S,S,SAMEA2533698
SAMEA2533409,ERR550707,R,R,S,R,SAMEA2533409
SAMEA2297136,ERR400312,S,S,S,S,SAMEA2297136
SAMEA2534529,ERR552269,S,S,S,S,SAMEA2534529
SAMEA2534243,ERR551857,S,S,S,S,SAMEA2534243
SAMEA2534376,ERR552050,S,S,R,S,SAMEA2534376
SAMEA2533721,ERR551127,S,S,S,S,SAMEA2533721
SAMEA2534496,ERR552226,S,R,R,R,SAMEA2534496
SAMEA2534498,ERR552227,S,S,S,S,SAMEA2534498
SAMEA2297015,ERR400444,S,S,S,S,SAMEA2297015
SAMEA2297017,ERR400446,S,S,S,S,SAMEA2297017
SAMEA2534455,ERR552165,S,R,R,R,SAMEA2534455
SAMEA2534616,ERR552390,R,R,R,R,SAMEA2534616
SAMEA2534190,ERR551784,S,S,S,S,SAMEA2534190
SAMEA2297054,ERR400483,S,S,S,S,SAMEA2297054
SAMEA2533729,ERR551143,S,S,S,S,SAMEA2533729
SAMEA2534503,ERR552232,S,S,S,S,SAMEA2534503
SAMEA2534381,ERR552057,S,S,S,S,SAMEA2534381
SAMEA2533843,ERR551295,R,R,R,R,SAMEA2533843
SAMEA2517446,ERR498391,S,S,S,S,SAMEA2517446
SAMEA2534205,ERR551806,R,R,R,R,SAMEA2534205
SAMEA2533536,ERR550876,S,S,S,S,SAMEA2533536
SAMEA2534547,ERR552292,S,S,S,S,SAMEA2534547
SAMEA2533443,ERR550749,S,R,R,R,SAMEA2533443
SAMEA2297041,ERR400470,S,S,S,S,SAMEA2297041
SAMEA2533681,ERR551078,S,S,S,S,SAMEA2533681
SAMEA2533948,ERR551447,S,S,S,S,SAMEA2533948
SAMEA2533374,ERR550661,S,S,S,S,SAMEA2533374
SAMEA2533875,ERR551348,S,S,S,S,SAMEA2533875
SAMEA2534070,ERR551614,S,S,S,S,SAMEA2534070
SAMEA2533859,ERR551325,S,S,S,S,SAMEA2533859
SAMEA2533397,ERR550692,S,S,S,S,SAMEA2533397
SAMEA2533596,ERR550961,R,R,S,R,SAMEA2533596
SAMEA2533403,ERR550699,S,S,S,S,SAMEA2533403
SAMEA2297122,ERR400551,S,S,S,S,SAMEA2297122
SAMEA2297013,ERR400442,S,S,S,S,SAMEA2297013
SAMEA2533527,ERR550862,S,S,S,S,SAMEA2533527
SAMEA2534469,ERR552183,S,S,S,S,SAMEA2534469
SAMEA2533662,ERR551049,S,S,S,S,SAMEA2533662
SAMEA2533857,ERR551322,S,S,S,S,SAMEA2533857
SAMEA2534465,ERR552178,S,S,S,S,SAMEA2534465
SAMEA2297029,ERR400458,S,S,S,S,SAMEA2297029
SAMEA2534202,ERR551802,S,S,S,S,SAMEA2534202
SAMEA2534292,ERR551923,R,R,R,R,SAMEA2534292
SAMEA2533584,ERR550948,S,S,S,S,SAMEA2533584
SAMEA2533423,ERR550724,R,R,R,R,SAMEA2533423
SAMEA2534091,ERR551649,S,R,S,R,SAMEA2534091
SAMEA2534226,ERR551834,S,S,S,S,SAMEA2534226
SAMEA2534300,ERR551933,S,S,S,S,SAMEA2534300
SAMEA2517429,ERR552153,S,S,S,S,SAMEA2517429
SAMEA2534460,ERR552168,S,S,S,S,SAMEA2534460
SAMEA2533633,ERR551012,S,S,S,S,SAMEA2533633
SAMEA2533417,ERR550717,S,S,S,S,SAMEA2533417
SAMEA2297091,ERR400520,S,S,S,S,SAMEA2297091
SAMEA2297050,ERR400479,S,S,S,S,SAMEA2297050
SAMEA2534028,ERR551561,S,S,S,S,SAMEA2534028
SAMEA2533504,ERR550831,S,S,S,S,SAMEA2533504
SAMEA2534281,ERR551908,S,S,S,S,SAMEA2534281
SAMEA2534335,ERR551991,S,S,S,S,SAMEA2534335
SAMEA2533768,ERR551197,S,S,S,S,SAMEA2533768
SAMEA2534065,ERR551606,S,S,S,S,SAMEA2534065
SAMEA2297007,ERR400436,S,S,S,S,SAMEA2297007
SAMEA2534211,ERR551816,S,R,S,R,SAMEA2534211
SAMEA2534661,ERR552457,R,R,R,R,SAMEA2534661
SAMEA2533726,ERR551137,R,R,R,R,SAMEA2533726
SAMEA2534276,ERR551900,S,S,S,S,SAMEA2534276
SAMEA2534359,ERR552025,S,S,S,S,SAMEA2534359
SAMEA2297024,ERR400453,S,S,S,S,SAMEA2297024
SAMEA2534054,ERR551594,S,S,S,S,SAMEA2534054
SAMEA2534034,ERR551568,S,R,R,S,SAMEA2534034
SAMEA2533438,ERR550742,S,S,S,S,SAMEA2533438
SAMEA2534693,ERR552503,R,R,R,R,SAMEA2534693
SAMEA2297133,ERR400309,S,S,S,S,SAMEA2297133
SAMEA2533868,ERR551340,S,S,S,S,SAMEA2533868
SAMEA2533467,ERR550786,R,R,S,R,SAMEA2533467
SAMEA2534123,ERR551691,S,S,S,S,SAMEA2534123
SAMEA2297048,ERR400477,S,S,S,S,SAMEA2297048
SAMEA2534499,ERR552229,S,S,S,S,SAMEA2534499
SAMEA2533840,ERR551293,S,R,S,S,SAMEA2533840
SAMEA2533764,ERR551191,S,S,R,S,SAMEA2533764
SAMEA2533481,ERR550802,S,S,S,S,SAMEA2533481
SAMEA2297062,ERR400491,S,S,S,S,SAMEA2297062
SAMEA2297035,ERR400464,S,S,S,S,SAMEA2297035
SAMEA2534298,ERR551932,S,S,S,S,SAMEA2534298
SAMEA2297075,ERR400504,S,R,R,S,SAMEA2297075
SAMEA2534699,ERR552514,R,R,R,R,SAMEA2534699
SAMEA2533429,ERR550731,S,S,S,S,SAMEA2533429
SAMEA2297108,ERR400537,S,S,S,S,SAMEA2297108
SAMEA2533573,ERR550935,S,S,S,S,SAMEA2533573
SAMEA2534415,ERR552103,R,R,R,R,SAMEA2534415
SAMEA2534488,ERR552214,S,S,S,S,SAMEA2534488
SAMEA2533936,ERR551430,R,R,R,R,SAMEA2533936
SAMEA2533720,ERR551126,R,R,R,R,SAMEA2533720
SAMEA2533850,ERR551311,S,R,S,R,SAMEA2533850
SAMEA2534333,ERR551987,R,R,S,R,SAMEA2534333
SAMEA2533920,ERR551405,S,S,S,S,SAMEA2533920
SAMEA2533389,ERR550681,R,R,R,R,SAMEA2533389
SAMEA2534200,ERR551798,S,R,S,R,SAMEA2534200
SAMEA2297126,ERR400555,S,S,S,S,SAMEA2297126
SAMEA2297107,ERR400536,S,S,S,S,SAMEA2297107
SAMEA2533585,ERR550949,R,R,S,R,SAMEA2533585
SAMEA2533943,ERR551441,S,S,S,S,SAMEA2533943
SAMEA2534572,ERR552334,S,S,S,S,SAMEA2534572
SAMEA2534407,ERR552092,S,S,S,S,SAMEA2534407
SAMEA2534076,ERR551623,R,R,S,R,SAMEA2534076
SAMEA2534609,ERR552379,S,R,S,S,SAMEA2534609
SAMEA2534625,ERR552402,S,S,S,S,SAMEA2534625
SAMEA2533751,ERR551167,R,R,S,S,SAMEA2533751
SAMEA2534005,ERR551532,S,S,S,S,SAMEA2534005
SAMEA2533736,ERR551149,S,S,S,S,SAMEA2533736
SAMEA2534527,ERR552267,S,S,S,S,SAMEA2534527
SAMEA2534340,ERR551998,S,S,S,S,SAMEA2534340
SAMEA2534674,ERR552476,S,S,S,S,SAMEA2534674
SAMEA2297192,ERR400368,S,S,S,S,SAMEA2297192
SAMEA1118221,ERR2513040,S,S,S,S,SAMEA1118221
SAMEA1119794,ERR2514613,S,S,S,S,SAMEA1119794
SAMEA1118685,ERR2513504,S,S,S,S,SAMEA1118685
SAMEA1119746,ERR2514565,S,S,S,S,SAMEA1119746
SAMEA1919459,ERR2515068,S,S,S,S,SAMEA1919459
SAMN05276370,SRR3675277,S,S,S,S,SAMN05276370
SAMEA3401932,ERR2516493,R,R,R,R,SAMEA3401932
SAMEA1117955,ERR2512774,S,S,S,S,SAMEA1117955
SAMN07659371,SRR6046562,S,R,S,S,SAMN07659371
SAMEA3388832,ERR2516346,S,S,S,S,SAMEA3388832
SAMEA3310079,ERR2516085,S,S,S,S,SAMEA3310079
SAMEA2709848,ERR2515304,R,R,S,R,SAMEA2709848
SAMEA3175535,ERR2515449,S,R,S,S,SAMEA3175535
SAMEA1101515,ERR2510273,S,S,S,S,SAMEA1101515
SAMEA1117767,ERR2512586,S,S,S,S,SAMEA1117767
SAMEA1119901,ERR2514720,S,S,S,S,SAMEA1119901
SAMEA1119686,ERR2514505,S,S,S,S,SAMEA1119686
SAMEA3446545,ERR2517279,S,S,S,S,SAMEA3446545
SAMEA2591391,ERR2515101,S,S,S,S,SAMEA2591391
SAMEA3209539,ERR2515553,S,S,S,S,SAMEA3209539
SAMEA3445334,ERR2517230,S,S,S,S,SAMEA3445334
SAMEA3209537,ERR2515551,S,S,S,S,SAMEA3209537
SAMEA1118901,ERR2513720,S,S,R,S,SAMEA1118901
SAMEA3445252,ERR2517209,S,S,S,S,SAMEA3445252
SAMEA3447615,ERR2517362,S,S,S,S,SAMEA3447615
SAMEA1101766,ERR2510467,R,R,S,R,SAMEA1101766
SAMEA1102712,ERR2510744,S,S,S,S,SAMEA1102712
SAMEA3416724,ERR2516709,R,R,R,R,SAMEA3416724
SAMEA1119598,ERR2514417,S,S,S,S,SAMEA1119598
SAMEA1117757,ERR2512576,S,S,S,S,SAMEA1117757
SAMEA1119434,ERR2514253,S,S,S,S,SAMEA1119434
SAMEA3209550,ERR2515564,S,S,S,S,SAMEA3209550
SAMEA2517364,ERR498294,S,S,S,S,SAMEA2517364
SAMEA1101552,ERR2510308,S,S,S,S,SAMEA1101552
SAMEA1103096,ERR2510822,S,S,S,S,SAMEA1103096
SAMEA1117775,ERR2512594,S,S,S,S,SAMEA1117775
SAMEA3392627,ERR2516412,R,R,S,R,SAMEA3392627
SAMEA1117993,ERR2512812,S,R,S,S,SAMEA1117993
SAMEA1119866,ERR2514685,S,S,S,S,SAMEA1119866
SAMN07658771,SRR6046626,S,S,S,S,SAMN07658771
SAMEA1397376,ERR2514891,S,S,S,S,SAMEA1397376
SAMEA1102770,ERR2510774,S,S,S,S,SAMEA1102770
SAMEA1117745,ERR2512564,S,S,S,S,SAMEA1117745
SAMEA1102836,ERR2510811,S,S,S,S,SAMEA1102836
SAMEA3369660,ERR2516272,S,S,S,S,SAMEA3369660
SAMN07659690,SRR6045092,S,S,S,S,SAMN07659690
SAMEA3443184,ERR2517042,S,R,S,R,SAMEA3443184
SAMEA1118118,ERR2512937,S,S,S,S,SAMEA1118118
SAMEA104394402,ERR2199772,S,S,S,S,SAMEA104394402
SAMEA1118868,ERR2513687,S,S,S,S,SAMEA1118868
SAMEA1397465,ERR2514980,S,S,S,S,SAMEA1397465
SAMN07659112,SRR6045814,S,S,S,S,SAMN07659112
SAMEA2534263,ERR551882,S,S,S,S,SAMEA2534263
SAMN07660026,SRR6044858,S,S,S,S,SAMN07660026
SAMN08215090,SRR6397810,R,R,R,R,SAMN08215090
SAMEA2534828,ERR552696,S,S,S,S,SAMEA2534828
SAMEA1118461,ERR2513280,S,S,S,S,SAMEA1118461
SAMEA1118337,ERR2513156,S,S,S,S,SAMEA1118337
SAMEA1118974,ERR2513793,S,S,S,S,SAMEA1118974
SAMN07658510,SRR6045984,S,R,S,R,SAMN07658510
SAMEA3179975,ERR2515531,S,S,S,S,SAMEA3179975
SAMN07660478,SRR6045918,S,S,S,S,SAMN07660478
SAMEA1117915,ERR2512734,S,S,S,S,SAMEA1117915
SAMEA1103138,ERR2510864,R,R,R,R,SAMEA1103138
SAMEA2709837,ERR2515293,R,R,R,R,SAMEA2709837
SAMEA1101599,ERR2510329,R,R,R,R,SAMEA1101599
SAMEA3401673,ERR2516482,R,R,R,R,SAMEA3401673
SAMEA1117742,ERR2512561,S,S,S,S,SAMEA1117742
SAMEA1397287,ERR2514802,S,S,S,S,SAMEA1397287
SAMN08215343,SRR6398017,S,R,S,S,SAMN08215343
SAMEA3254373,ERR2515803,S,S,S,S,SAMEA3254373
SAMEA1118233,ERR2513052,S,S,S,S,SAMEA1118233
SAMEA3178973,ERR2515521,S,S,S,S,SAMEA3178973
SAMEA2534303,ERR551937,R,R,R,R,SAMEA2534303
SAMEA3174288,ERR2515413,S,S,S,S,SAMEA3174288
SAMEA104394511,ERR2199908,S,S,S,S,SAMEA104394511
SAMEA1118455,ERR2513274,S,S,S,S,SAMEA1118455
SAMEA3421168,ERR2516819,R,R,S,R,SAMEA3421168
SAMEA1117723,ERR2512542,S,S,S,S,SAMEA1117723
SAMEA1119156,ERR2513975,S,S,S,S,SAMEA1119156
SAMN07658985,SRR6046023,S,R,S,S,SAMN07658985
SAMEA1102318,ERR2510617,R,R,S,R,SAMEA1102318
SAMEA1119360,ERR2514179,S,S,S,S,SAMEA1119360
SAMEA1119464,ERR2514283,S,S,S,S,SAMEA1119464
SAMEA3374114,ERR2516305,S,S,S,S,SAMEA3374114
SAMEA3445346,ERR2517241,S,S,S,S,SAMEA3445346
SAMN07658245,SRR6046044,S,S,S,S,SAMN07658245
SAMEA1118701,ERR2513520,S,S,S,S,SAMEA1118701
SAMEA1102305,ERR2510604,R,R,R,R,SAMEA1102305
SAMEA3448208,ERR2517411,S,S,S,S,SAMEA3448208
SAMEA1119425,ERR2514244,S,R,S,S,SAMEA1119425
SAMEA1119760,ERR2514579,S,S,S,S,SAMEA1119760
SAMEA1101786,ERR2510484,R,R,S,R,SAMEA1101786
SAMEA3447567,ERR2517316,S,S,S,S,SAMEA3447567
SAMEA3268266,ERR2515870,S,S,S,S,SAMEA3268266
SAMEA2591384,ERR2515094,S,R,S,S,SAMEA2591384
SAMEA1119820,ERR2514639,S,S,S,S,SAMEA1119820
SAMEA1397404,ERR2514919,S,S,S,S,SAMEA1397404
SAMEA3451194,ERR2517574,S,S,S,S,SAMEA3451194
SAMEA2709870,ERR2515326,S,S,S,S,SAMEA2709870
SAMEA3457715,ERR2517648,S,R,S,S,SAMEA3457715
SAMEA104394468,ERR2199852,S,S,S,S,SAMEA104394468
SAMEA3447572,ERR2517321,S,S,S,S,SAMEA3447572
SAMEA104394448,ERR2199829,S,S,S,S,SAMEA104394448
SAMN07660078,SRR6045284,S,S,S,S,SAMN07660078
SAMN07660386,SRR6045314,S,R,S,S,SAMN07660386
SAMEA3402869,ERR2516528,R,R,R,R,SAMEA3402869
SAMEA1102245,ERR2510563,S,R,S,R,SAMEA1102245
SAMEA3308008,ERR2516076,S,S,S,S,SAMEA3308008
SAMN07658625,SRR6045073,S,S,S,S,SAMN07658625
SAMEA2709827,ERR2515283,S,R,S,R,SAMEA2709827
SAMEA1119135,ERR2513954,S,R,S,R,SAMEA1119135
SAMEA2709727,ERR2515183,S,S,S,S,SAMEA2709727
SAMEA3451213,ERR2517591,S,S,S,S,SAMEA3451213
SAMEA1118965,ERR2513784,S,R,S,S,SAMEA1118965
SAMEA1119009,ERR2513828,S,S,S,S,SAMEA1119009
SAMEA1119867,ERR2514686,S,S,S,S,SAMEA1119867
SAMEA1119717,ERR2514536,S,R,S,S,SAMEA1119717
SAMEA1118016,ERR2512835,S,S,S,S,SAMEA1118016
SAMEA1117900,ERR2512719,S,S,S,S,SAMEA1117900
SAMEA1118098,ERR2512917,S,S,S,S,SAMEA1118098
SAMEA3446431,ERR2517258,S,S,S,S,SAMEA3446431
SAMEA2534878,ERR552754,R,R,R,R,SAMEA2534878
SAMEA1117599,ERR2512418,S,S,S,S,SAMEA1117599
SAMEA1102751,ERR2510767,S,S,S,S,SAMEA1102751
SAMEA3346005,ERR2516150,S,R,S,S,SAMEA3346005
